epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.410915,0.285692,0.285692,0.001,2.98,True,0,MSFT,42
2,0.403646,0.280011,0.280011,0.001,2.58,True,0,MSFT,42
3,0.402594,0.278861,0.278861,0.001,2.46,True,0,MSFT,42
4,0.401727,0.280806,0.278861,0.001,2.76,False,1,MSFT,42
5,0.401536,0.280285,0.278861,0.001,3.11,False,2,MSFT,42
6,0.401272,0.281663,0.278861,0.001,3.54,False,3,MSFT,42
7,0.401579,0.28138,0.278861,0.001,3.53,False,4,MSFT,42
8,0.400856,0.280339,0.278861,0.001,3.59,False,5,MSFT,42
9,0.401099,0.280729,0.278861,0.001,3.79,False,6,MSFT,42
10,0.400335,0.280577,0.278861,0.0005,3.38,False,7,MSFT,42
