epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.417529,0.398121,0.398121,0.001,1.9,True,0,META,100
2,0.402395,0.393855,0.393855,0.001,1.71,True,0,META,100
3,0.40028,0.382346,0.382346,0.001,1.77,True,0,META,100
4,0.397862,0.381659,0.381659,0.001,1.71,True,0,META,100
5,0.396885,0.381401,0.381401,0.001,1.75,True,0,META,100
6,0.396406,0.381181,0.381181,0.001,1.84,True,0,META,100
7,0.395897,0.381451,0.381181,0.001,1.72,False,1,META,100
8,0.396988,0.380829,0.380829,0.001,1.8,True,0,META,100
9,0.395985,0.38096,0.380829,0.001,1.72,False,1,META,100
10,0.396531,0.380893,0.380829,0.001,1.81,False,2,META,100
11,0.395965,0.380912,0.380829,0.001,1.78,False,3,META,100
12,0.396036,0.38091,0.380829,0.001,1.73,False,4,META,100
13,0.394703,0.381233,0.380829,0.001,1.74,False,5,META,100
14,0.396052,0.382338,0.380829,0.001,1.69,False,6,META,100
15,0.395747,0.382075,0.380829,0.0005,1.84,False,7,META,100
