epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.363278,0.251026,0.251026,0.001,1.22,True,0,MSFT,100
2,0.361363,0.250143,0.250143,0.001,1.31,True,0,MSFT,100
3,0.360325,0.250235,0.250143,0.001,1.19,False,1,MSFT,100
4,0.359491,0.252333,0.250143,0.001,1.14,False,2,MSFT,100
5,0.358062,0.251611,0.250143,0.001,1.19,False,3,MSFT,100
6,0.356447,0.252884,0.250143,0.001,1.26,False,4,MSFT,100
7,0.354946,0.253213,0.250143,0.001,1.22,False,5,MSFT,100
8,0.353723,0.256093,0.250143,0.001,1.21,False,6,MSFT,100
9,0.35019,0.255145,0.250143,0.0005,1.21,False,7,MSFT,100
