epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.416107,0.804276,0.804276,0.001,1.82,True,0,INTC,100
2,0.403526,0.799353,0.799353,0.001,1.74,True,0,INTC,100
3,0.400729,0.800587,0.799353,0.001,1.83,False,1,INTC,100
4,0.397304,0.800968,0.799353,0.001,1.81,False,2,INTC,100
5,0.396325,0.80166,0.799353,0.001,1.84,False,3,INTC,100
6,0.393733,0.801792,0.799353,0.001,1.71,False,4,INTC,100
7,0.392195,0.804023,0.799353,0.001,1.82,False,5,INTC,100
8,0.389472,0.806063,0.799353,0.001,1.87,False,6,INTC,100
9,0.384942,0.806602,0.799353,0.0005,1.79,False,7,INTC,100
