epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.428362,0.694586,0.694586,0.001,1.74,True,0,AAPL,42
2,0.418042,0.663659,0.663659,0.001,1.64,True,0,AAPL,42
3,0.412233,0.702789,0.663659,0.001,1.68,False,1,AAPL,42
4,0.40956,0.664891,0.663659,0.001,1.71,False,2,AAPL,42
5,0.410281,0.678612,0.663659,0.001,1.73,False,3,AAPL,42
6,0.407409,0.692197,0.663659,0.001,1.82,False,4,AAPL,42
7,0.408045,0.669694,0.663659,0.001,1.69,False,5,AAPL,42
8,0.405617,0.668411,0.663659,0.001,1.79,False,6,AAPL,42
9,0.407135,0.680689,0.663659,0.0005,1.73,False,7,AAPL,42
