epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.418365,0.446468,0.446468,0.001,1.65,True,0,PEP,100
2,0.403122,0.450291,0.446468,0.001,1.6,False,1,PEP,100
3,0.40083,0.446561,0.446468,0.001,1.68,False,2,PEP,100
4,0.398782,0.454046,0.446468,0.001,1.82,False,3,PEP,100
5,0.398318,0.456417,0.446468,0.001,1.61,False,4,PEP,100
6,0.395265,0.450312,0.446468,0.001,1.65,False,5,PEP,100
7,0.39601,0.449705,0.446468,0.001,1.58,False,6,PEP,100
8,0.39479,0.451043,0.446468,0.0005,1.63,False,7,PEP,100
