epoch,train_loss,val_loss,best_val_loss,lr,time_sec,is_best,patience,ticker,seed
1,0.398169,0.432189,0.432189,0.001,8.61,True,0,ABBV,42
2,0.392254,0.427693,0.427693,0.001,8.66,True,0,ABBV,42
3,0.389917,0.420022,0.420022,0.001,8.48,True,0,ABBV,42
4,0.387877,0.419407,0.419407,0.001,8.87,True,0,ABBV,42
5,0.386673,0.424616,0.419407,0.001,8.69,False,1,ABBV,42
6,0.387145,0.42226,0.419407,0.001,8.52,False,2,ABBV,42
7,0.386707,0.421516,0.419407,0.001,8.45,False,3,ABBV,42
8,0.386813,0.421546,0.419407,0.001,8.48,False,4,ABBV,42
9,0.386041,0.420096,0.419407,0.001,8.63,False,5,ABBV,42
10,0.385348,0.420183,0.419407,0.001,8.44,False,6,ABBV,42
11,0.38527,0.419523,0.419407,0.0005,8.34,False,7,ABBV,42
